,01 IT-ET Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
1818,0.0002576280807261355,0.0006712326692650095,6.955041480064392,0.00035462949017528445,0.0004021786531666294,0.009869586396962404,0.0017595926881767811,0.0008079610241111369,0.0003405557232326828,0.0001776798759237863,0.00028735130326822404,0.0004621963453246281,0.00019025770598091188,0.000964951582136564,0.00047639562690164904,0.00031403348257299515,0.00015961805474944414
1819,0.00014463954794337043,0.0004992079717339948,5.431489109992981,0.0008117191173369065,0.0014889470185153186,0.004146480094641447,0.0031565016019158066,0.0007873303431551904,0.0003059139184188098,0.0001899541646707803,0.00039650165708735583,0.0005568028340348974,0.061718585528433324,0.0022024975158274175,0.0015756763168610632,0.0005169140436919406,0.3092711240053177
1820,0.0005412580765550957,0.00041522136016283186,1.5157374322414399,0.007821506028994918,0.0009409469232195989,0.003634133725427091,0.08325784765183926,0.0018147952214349061,0.0010425325715914368,0.0009590141213266179,0.0004612634133081883,0.0068416867405176164,5.293180012702942,1.5107137501239776,0.01108535253442824,0.0011500289430841804,0.18508449494838713
1821,9.501883278062451e-06,0.00011704528951668182,0.02299008741974831,0.00013131861996953375,2.3448994306818348e-05,0.0001246399922820274,0.0031065375078469515,6.0904729798494374e-05,4.8396204510936515e-05,1.7783975818019825e-05,2.096117104883888e-05,5.6046312420221514e-05,0.0002285539514559787,0.0024956436711363493,0.00015654679009458053,1.3034741580486298,0.00017511465703137218
1822,0.0010041842644568533,0.0008422429964412005,15.96674404144287,0.0013343117607291788,0.004707040521316231,0.013483936665579677,0.00248972267145291,0.009835786884650588,0.0010940408101305366,0.0007965949276695028,0.001689099060604349,0.0032651800313033166,0.00044421495404094457,0.005143264564685524,0.00044190862245159225,0.0005943822354311124,0.0009148799144895747
1823,0.0014486126136034727,0.0015162639552727343,14.075001049041749,0.005624499334953725,0.009958471963182091,0.022877269610762595,0.005745279067195953,0.006981788133271038,0.001902436255477369,0.0018438185332342982,0.0026763513451442122,0.00411088012624532,0.006569241033867001,0.5220168948173523,0.0011025091516785324,0.001311134808929637,0.17852159291505815
1824,0.0005627973267110065,0.0007164562761317938,11.210656642913818,0.0011539458762854337,0.0027840192662551997,0.005547844525426626,0.0022024875739589333,0.002726669271942228,0.0006976375734666362,0.0003867945823003538,0.0007492493255995215,0.0016765701933763922,0.001261508942116052,0.002403165283612907,0.000910674361512065,0.000711579408380203,0.0002972661764943041
1825,0.0009360706870211289,0.000629395735450089,14.348394775390625,0.0013039766694419087,0.004858559067361057,0.010633773216977716,0.0022531723603606223,0.007042994815856219,0.0015148744045291097,0.0006959278893191367,0.002117161441128701,0.003011899150442332,0.000294829833728727,0.7971876949071884,0.0007539474725490436,0.0005080415168777109,0.00038157517701620236
1826,0.00019512148064677605,0.001749238540651277,8.115148544311523,0.0002676465010154061,0.0005178731458727271,0.003897636174224317,0.0015656090690754356,0.000507787917740643,0.0002475770059390925,0.00016469890615553596,0.0003493778727715835,0.0005699833855032921,0.00025009556848090144,0.0011029764951672406,0.00021209703118074685,0.008867161301895977,0.00023420251818606633
1827,0.00757521849591285,1.6136109232902527,6.906777691841126,0.005733162094838918,0.004215173400007189,0.007331977668218315,0.048309634812176226,0.007928560581058263,0.003375413327012211,0.002021595189580694,0.0058049775660038,0.004761516279540956,0.0035751780727878214,0.0018290601961780339,0.0009817833313718438,0.00214707920094952,0.0007093256339430809
1828,0.0025847144890576604,6.575864601135254,5.4080790687294214e-05,0.0004659971891669557,0.0006365696375723928,0.00019993692039861345,0.015098263043910267,0.00016278339171549305,0.0004353470867499709,0.0017071812704671176,0.009171737078577281,0.0004473721506656148,0.005107866716571152,0.00021817020606249571,0.00023803304939065128,0.06783422194421292,0.00043981974304188045
1829,0.00040555129235144707,2.9884597778320314,5.1309265472809784e-05,0.00014551883141393775,7.618346098752227e-05,5.879188011022052e-05,0.005154306488111615,5.181676460779272e-05,6.862310838187114e-05,0.00046892571554053576,0.00048403283581137656,0.00010714154741435779,0.0002576039740233682,0.00019904298096662387,9.472641140746418e-05,0.04001305140554905,0.0004268604025128298
1831,8.926340269681532e-05,0.1119268748909235,1.9315151154994965,0.0002644325446453877,0.0001309284802118782,0.0004105008309124969,0.00182351425755769,0.00013520874927053228,0.0001400167697283905,0.00010188052619923838,0.00011834433462354355,0.00016478553880006078,0.36701354682445525,0.00040888487128540877,0.0004759437550092116,2.8198185324668885,0.0026859003934077918
1832,0.0005665377044351772,7.62909722328186,0.00038100262754596774,0.0013962841941975058,0.00019168561557307838,0.00025657731748651713,1.3339400947093965,0.00020444142719497907,0.0005402295442763716,0.0017864647845271977,0.0007194439298473298,0.00018374686696915888,0.0024855053867213427,0.001108804828254506,0.0001261418168724049,0.00013006926892558115,0.0003420734836254269
1833,0.0003367746016010642,0.003146111604291946,3.3656126737594603,0.002295820123981685,0.00031405017070937905,0.00174396897200495,2.708717370033264,0.0004820579692022875,0.000861537066521123,0.0003926166071323678,0.0003811122602201067,0.0004497098736464977,0.5602030515670776,0.013026735372841358,0.9093563437461853,1.0800136744976043,0.003053285472560674
