cell_ID,cell_type,n_counts,cellType,n_genes
625,Olig,6636.0,Olig,1827
626,Olig,6656.0,Olig,2182
627,Olig,12197.0,Olig,2969
628,Olig,8276.0,Olig,2421
629,Olig,19788.0,Olig,3385
630,Olig,8437.0,Olig,1812
631,Olig,12693.0,Olig,2818
632,Olig,14831.0,Olig,2911
633,Olig,12675.0,Olig,3524
634,Olig,11752.0,Olig,2764
635,Olig,15712.0,Olig,3116
636,Olig,10219.0,Olig,3097
637,Olig,13663.0,Olig,3169
638,Olig,13274.0,Olig,2827
639,Olig,10994.0,Olig,2975
640,Olig,13509.0,Olig,4206
641,Olig,15068.0,Olig,3673
642,Olig,18163.0,Olig,4439
643,Olig,10637.0,Olig,2578
644,Olig,21831.0,Olig,4841
