gene_identifier,n_counts,n_cells
Epha3,188.0,58
Ephb2,151.0,51
Ephx2,198.0,56
Epn1,1969.0,69
Eps15,435.0,67
Eps15l1,473.0,64
Eps8l2,263.0,61
Eral1,254.0,60
Erbb3,315.0,60
Erc2,337.0,64
Ercc4,138.0,49
Ercc5,305.0,62
Ergic1,689.0,67
Eri1,332.0,63
Erlec1,251.0,61
Erlin1,108.0,39
Ermn,212.0,58
Ermp1,125.0,45
Ern2,214.0,56
Erp44,208.0,56
Errfi1,211.0,54
Espl1,159.0,53
Esr2,116.0,41
Esrp1,165.0,55
Esrrb,190.0,56
Etaa1,286.0,59
Etl4,545.0,63
Ets1,240.0,57
Eva1a,220.0,58
Evc,194.0,55
Evc2,176.0,51
Evpl,241.0,58
Evx1,117.0,46
Exd1,218.0,58
Exd2,222.0,58
Exoc1,387.0,66
Exoc3l4,182.0,57
Exoc8,322.0,65
Exosc10,266.0,61
Exosc4,260.0,61
Eya1,153.0,52
Eya2,192.0,54
Eya4,118.0,48
Ezh1,292.0,58
Ezr,352.0,67
F2r,188.0,58
F2rl1,119.0,45
F2rl3,205.0,54
F8,183.0,59
Fa2h,257.0,56
Faah,460.0,64
Fadd,112.0,48
